replica	lenguaje	tamanio	tipo dato	datos				
3	JAVA	300	int32	0,819622222				
3	JAVA	300	int64	0,317155556				
3	JAVA	300	int64	1,136777778				
3	JAVA	300	int64	0,869511111				
3	JAVA	300	float	0,844566667				
3	JAVA	300	float	1,136777778				
3	JAVA	300	float	0,823177778				
3	JAVA	300	double	0,837444444				
3	JAVA	300	double	1,129655556				
3	JAVA	300	double	0,901577778				
3	JAVA	400	int32	0,3948875				
3	JAVA	400	int32	1,35504375				
3	JAVA	400	int32	0,9060375				
3	JAVA	400	int64	0,41293125				
3	JAVA	400	int64	1,44725625				
3	JAVA	400	int64	0,95013125				
3	JAVA	400	float	0,8519125				
3	JAVA	400	float	1,35905625				
3	JAVA	400	float	0,91405				
3	JAVA	400	double	0,8398875				
3	JAVA	400	double	1,46529375				
3	JAVA	400	double	0,946125				
3	JAVA	500	int32	0,460556				
3	JAVA	500	int32	1,525348				
3	JAVA	500	int32	0,928808				
3	JAVA	500	int64	0,552924				
3	JAVA	500	int64	1,766528				
3	JAVA	500	int64	0,967292				
3	JAVA	500	float	0,865944				
3	JAVA	500	float	1,408604				
3	JAVA	500	float	1,066076				
3	JAVA	500	double	0,86338				
3	JAVA	500	double	1,8063				
3	JAVA	500	double	1,053244				
3	JAVA	600	int32	0,487316667				
3	JAVA	600	int32	1,517186111				
3	JAVA	600	int32	0,9292				
3	JAVA	600	int64	0,807147222				
3	JAVA	600	int64	1,841472222				
3	JAVA	600	int64	1,067288889				
3	JAVA	600	float	0,861491667				
3	JAVA	600	float	1,603602778				
3	JAVA	600	float	0,925636111				
3	JAVA	600	double	0,874855556				
3	JAVA	600	double	1,971541667				
3	JAVA	600	double	0,990672222				
3	JAVA	700	int32	0,450318367				
3	JAVA	700	int32	1,843161224				
3	JAVA	700	int32	1,083904082				
3	JAVA	700	int64	0,889510204				
3	JAVA	700	int64	2,018577551				
3	JAVA	700	int64	1,045287755				
3	JAVA	700	float	0,904563265				
3	JAVA	700	float	1,825489796				
3	JAVA	700	float	1,04005102				
3	JAVA	700	double	0,916344898				
3	JAVA	700	double	2,06897551				
3	JAVA	700	double	1,153285714				
3	JAVA	800	int32	0,454520313				
3	JAVA	800	int32	1,605607813				
3	JAVA	800	int32	0,961159375				
3	JAVA	800	int64	0,746678125				
3	JAVA	800	int64	6,576778125				
3	JAVA	800	int64	3,488839063				
3	JAVA	800	float	0,908040625				
3	JAVA	800	float	1,678270313				
3	JAVA	800	float	0,961660938				
3	JAVA	800	double	0,865945313				
3	JAVA	800	double	6,584796875				
3	JAVA	800	double	3,60760625				
3	JAVA	900	int32	0,562646914				
3	JAVA	900	int32	2,032418519				
3	JAVA	900	int32	1,46145679				
3	JAVA	900	int64	0,768145679				
3	JAVA	900	int64	10,0504358				
3	JAVA	900	int64	4,885249383				
3	JAVA	900	float	0,97087284				
3	JAVA	900	float	1,653097531				
3	JAVA	900	float	0,976416049				
3	JAVA	900	double	0,898809877				
3	JAVA	900	double	8,172437037				
3	JAVA	900	double	4,193520988				
3	JAVA	1000	int32	0,616746				
3	JAVA	1000	int32	5,328454				
3	JAVA	1000	int32	2,819776				
3	JAVA	1000	int64	0,683135				
3	JAVA	1000	int64	9,648881				
3	JAVA	1000	int64	4,900291				
3	JAVA	1000	float	0,900584				
3	JAVA	1000	float	1,745041				
3	JAVA	1000	float	1,084677				
3	JAVA	1000	double	0,891283				
3	JAVA	1000	double	10,03086				
3	JAVA	1000	double	5,211391				
3	JAVA	1100	int32	0,453780165				
3	JAVA	1100	int32	7,249347934				
3	JAVA	1100	int32	3,598698347				
3	JAVA	1100	int64	0,553971901				
3	JAVA	1100	int64	10,8475157				
3	JAVA	1100	int64	5,531503306				
3	JAVA	1100	float	0,880523967				
3	JAVA	1100	float	7,269757025				
3	JAVA	1100	float	3,636601653				
3	JAVA	1100	double	0,897487603				
3	JAVA	1100	double	10,73884132				
3	JAVA	1100	double	5,469745455				
3	JAVA	1200	int32	0,444554861				
3	JAVA	1200	int32	7,928704861				
3	JAVA	1200	int32	3,997426389				
3	JAVA	1200	int64	0,537875694				
3	JAVA	1200	int64	11,05461806				
3	JAVA	1200	int64	5,655597222				
3	JAVA	1200	float	0,872627778				
